city,state,place_name,category,mood,available_time_min,distance_km,visit_duration_min,preference_match,is_open,time_fit,distance_fit,suitability
Srinagar,Jammu and Kashmir,Shankaracharya Temple,religious,nature,120,1.09,105,0.784,0,1,1,1
Nashik,Maharashtra,Trimbakeshwar Temple,religious,adventure,60,0.42,130,0.527,1,0,1,0
Pune,Maharashtra,Sinhagad Fort,fort,relax,180,3.05,195,0.176,1,0,1,0
Lucknow,Uttar Pradesh,Residency Lucknow,historic,nature,30,2.54,110,0.394,1,0,1,0
Bengaluru,Karnataka,Lalbagh Botanical Garden,garden,adventure,60,0.76,105,0.502,1,0,1,0
Kolkata,West Bengal,Maidan,park,adventure,180,10.22,70,0.413,1,1,1,1
Nagpur,Maharashtra,Ramtek Fort Temple,fort,relax,180,7.99,140,0.427,1,1,1,1
Chennai,Tamil Nadu,Government Museum Chennai,museum,food,60,1.01,130,0.397,1,0,1,0
Nashik,Maharashtra,Nandur Madhameshwar Bird Sanctuary,nature,adventure,480,32.38,200,0.301,1,1,1,0
Kolkata,West Bengal,Maidan,park,nature,480,15.07,80,0.795,1,1,1,1
Gangtok,Sikkim,Tsomgo Lake,lake,nature,120,1.28,165,0.763,1,0,1,1
Gangtok,Sikkim,Banjhakri Falls,nature,relax,480,1.23,135,0.462,1,1,1,1
Pune,Maharashtra,Sarasbaug,park,explore,120,4.23,50,0.291,1,1,1,1
Jaipur,Rajasthan,Nahargarh Fort,fort,relax,180,11.34,120,0.312,1,1,1,1
Pune,Maharashtra,Sarasbaug,park,explore,30,1.58,70,0.246,1,0,1,0
Darjeeling,West Bengal,Padmaja Naidu Himalayan Zoological Park,nature,food,30,0.96,130,0.381,1,0,1,0
Delhi,Delhi,India Gate,monument,adventure,480,34.87,50,0.222,1,1,1,0
Kolkata,West Bengal,Howrah Bridge,monument,culture,60,2.02,40,0.853,1,1,1,1
Amritsar,Punjab,Jallianwala Bagh,historic,adventure,180,4.93,75,0.25,1,1,1,1
Udaipur,Rajasthan,City Palace Udaipur,historic,nature,120,3.35,120,0.499,1,1,1,1
Goa,Goa,Palolem Beach,beach,culture,30,0.89,165,0.471,1,0,1,0
Nashik,Maharashtra,Pandavleni Caves,historic,nature,300,17.89,135,0.211,1,1,1,1
Ahmedabad,Gujarat,Sidi Saiyyed Mosque,religious,adventure,120,4.05,50,0.4,1,1,1,1
Chennai,Tamil Nadu,Government Museum Chennai,museum,relax,300,9.82,140,0.295,1,1,1,1
